新闻,#genre#
TVB無線新聞News,http://iptvpro.pw:35451//加QQ1078393318/897659860/3.ts
TVB無線新聞台4K,http://iptvpro.pw:35451//加QQ1078393318/897659860/8.ts
TVB無線新聞直播台4K,http://iptvpro.pw:35451//加QQ1078393318/897659860/9.ts
TVB無線新聞台CH083,http://iptvpro.pw:35451//加QQ1078393318/897659860/13.ts
鳳凰資訊,http://iptvpro.pw:35451//加QQ1078393318/897659860/17.ts
HOY資訊台,http://iptvpro.pw:35451//加QQ1078393318/897659860/22.ts
HOY香港國際財經IBC,http://iptvpro.pw:35451//加QQ1078393318/897659860/23.ts
Now新聞台CH332,http://iptvpro.pw:35451//加QQ1078393318/897659860/29.ts
Now財經台CH333,http://iptvpro.pw:35451//加QQ1078393318/897659860/30.ts
鳳凰資訊台CH611,http://iptvpro.pw:35451//加QQ1078393318/897659860/88.ts
中天新闻,http://iptvpro.pw:35451//加QQ1078393318/897659860/161.ts
东森新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/162.ts
TVBS新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/163.ts
三立新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/166.ts
台视新闻,http://iptvpro.pw:35451//加QQ1078393318/897659860/174.ts
民视新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/164.ts
中视新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/168.ts
华视新闻信息台,http://iptvpro.pw:35451//加QQ1078393318/897659860/169.ts
寰宇新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/170.ts
寰宇新闻台湾台,http://iptvpro.pw:35451//加QQ1078393318/897659860/171.ts
年代新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/165.ts
壹电视新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/172.ts
镜电视新闻,http://iptvpro.pw:35451//加QQ1078393318/897659860/173.ts
非凡新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/167.ts
三立财经新闻iNEWS,http://iptvpro.pw:35451//加QQ1078393318/897659860/370.ts
SBN全球财经台,http://iptvpro.pw:35451//加QQ1078393318/897659860/371.ts
东森财经新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/369.ts
寰宇财经台,http://iptvpro.pw:35451//加QQ1078393318/897659860/379.ts
台视财经台,http://iptvpro.pw:35451//加QQ1078393318/897659860/373.ts
非凡商业台,http://iptvpro.pw:35451//加QQ1078393318/897659860/372.ts
CNN国际新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/382.ts
CNN头条新闻台(HLN),http://iptvpro.pw:35451//加QQ1078393318/897659860/383.ts
BBCWorldNEWS,http://iptvpro.pw:35451//加QQ1078393318/897659860/384.ts
FRANCE24英文台,http://iptvpro.pw:35451//加QQ1078393318/897659860/386.ts
VOA美国之音,http://iptvpro.pw:35451//加QQ1078393318/897659860/389.ts
半岛国际新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/385.ts
CNBCAsia财经台,http://iptvpro.pw:35451//加QQ1078393318/897659860/390.ts
彭博BloombergTV,http://iptvpro.pw:35451//加QQ1078393318/897659860/387.ts
AI倪珍播新闻,http://iptvpro.pw:35451//加QQ1078393318/897659860/368.ts
CCTV-13(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/487.ts
CCTV-131080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/546.ts
上海第一财经(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/588.ts
CGTN(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/579.ts
TVBNEWS(美),http://iptvpro.pw:35451//加QQ1078393318/897659860/444.ts
美国旧金山KTSF-26,http://iptvpro.pw:35451//加QQ1078393318/897659860/467.ts
加拿大600新闻(加),http://iptvpro.pw:35451//加QQ1078393318/897659860/449.ts
TVB无线新闻海外台,http://iptvpro.pw:35451//加QQ1078393318/897659860/454.ts
东森美洲新闻台,http://iptvpro.pw:35451//加QQ1078393318/897659860/471.ts
TVB娱乐新闻台(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/670.ts
凤凰资讯(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/747.ts
Aljazeera(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/752.ts
BloombergTV(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/756.ts
BBCWorldNews(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/751.ts
CGTN(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/760.ts
CNA亚洲新闻(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/754.ts
CNN(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/750.ts
CNBC(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/755.ts
DWEnglish(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/758.ts
France24(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/759.ts
SkyNews(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/753.ts
ABCAustralia(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/757.ts
CNN(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/874.ts
日テレNEWS24(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/871.ts
BBCワールドニュース(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/873.ts
体育,#genre#
FightSportsCH642,http://iptvpro.pw:35451//加QQ1078393318/897659860/108.ts
Now668(粵)CH668,http://iptvpro.pw:35451//加QQ1078393318/897659860/112.ts
Now668(國)CH668,http://iptvpro.pw:35451//加QQ1078393318/897659860/113.ts
TVB88跑馬台,http://iptvpro.pw:35451//加QQ1078393318/897659860/136.ts
HKC有線18台,http://iptvpro.pw:35451//加QQ1078393318/897659860/122.ts
HKC有線18台(低延時),http://iptvpro.pw:35451//加QQ1078393318/897659860/123.ts
TVBmyTVSUPER18台CH018,http://iptvpro.pw:35451//加QQ1078393318/897659860/51.ts
ELTA爱尔达体育1台540P,http://iptvpro.pw:35451//加QQ1078393318/897659860/257.ts
ELTA爱尔达体育2台540P,http://iptvpro.pw:35451//加QQ1078393318/897659860/258.ts
ELTA爱尔达体育3台540P,http://iptvpro.pw:35451//加QQ1078393318/897659860/259.ts
ELTA爱尔达体育4台540P,http://iptvpro.pw:35451//加QQ1078393318/897659860/260.ts
ELTA爱尔达体育MAX1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/261.ts
ELTA爱尔达体育MAX2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/262.ts
ELTA爱尔达体育MAX3台,http://iptvpro.pw:35451//加QQ1078393318/897659860/263.ts
ELTA爱尔达体育MAX4台,http://iptvpro.pw:35451//加QQ1078393318/897659860/264.ts
博斯无限1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/270.ts
博斯无限2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/271.ts
博斯网球台,http://iptvpro.pw:35451//加QQ1078393318/897659860/272.ts
博斯运动1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/265.ts
博斯运动2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/266.ts
博斯高球1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/268.ts
博斯高球2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/269.ts
博斯魅力台,http://iptvpro.pw:35451//加QQ1078393318/897659860/267.ts
DAZN1,http://iptvpro.pw:35451//加QQ1078393318/897659860/273.ts
DAZN2,http://iptvpro.pw:35451//加QQ1078393318/897659860/274.ts
MOMOTVSports,http://iptvpro.pw:35451//加QQ1078393318/897659860/336.ts
TRACESportStars,http://iptvpro.pw:35451//加QQ1078393318/897659860/335.ts
智林体育台,http://iptvpro.pw:35451//加QQ1078393318/897659860/337.ts
CCTV-51080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/537.ts
CCTV-5P1080P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/538.ts
五星体育(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/526.ts
广东体育频道(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/527.ts
纬来体育台,http://iptvpro.pw:35451//加QQ1078393318/897659860/226.ts
ELTA爱尔达体育1台,http://iptvpro.pw:35451//加QQ1078393318/897659860/253.ts
ELTA爱尔达体育2台,http://iptvpro.pw:35451//加QQ1078393318/897659860/254.ts
ELTA爱尔达体育3台,http://iptvpro.pw:35451//加QQ1078393318/897659860/255.ts
ELTA爱尔达体育4台,http://iptvpro.pw:35451//加QQ1078393318/897659860/256.ts
纬来体育台H265,http://iptvpro.pw:35451//加QQ1078393318/897659860/424.ts
CCTV-5(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/479.ts
CCTV-5P(CN),http://iptvpro.pw:35451//加QQ1078393318/897659860/492.ts
HubSports1(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/633.ts
HubSports2(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/634.ts
HubSports3(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/635.ts
HubSports4(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/636.ts
HubSports5(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/637.ts
HubPremier1(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/638.ts
HubPremier2(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/639.ts
HubPremier3(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/640.ts
HubPremier4(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/641.ts
HubPremier5(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/642.ts
HubPremier6(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/643.ts
HubPremier7(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/644.ts
EUROSPORT(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/646.ts
FightSports(SG),http://iptvpro.pw:35451//加QQ1078393318/897659860/645.ts
AstroGrandstand(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/687.ts
AstroBadminton(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/688.ts
AstroSportsPlus(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/686.ts
AstroCricket(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/703.ts
AstroFootball(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/689.ts
AstroArena1(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/690.ts
AstroArena2(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/691.ts
AstroArenaBola1(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/692.ts
AstroArenaBola2(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/693.ts
beINSports1(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/697.ts
beINSports2(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/698.ts
bEINSports3(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/699.ts
PremierSports(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/702.ts
PremierLeague1(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/694.ts
PremierLeague2(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/695.ts
WWENetwork(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/700.ts
SPOTV(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/704.ts
SPOTV2(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/705.ts
WSport(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/696.ts
GolfChannel(MY),http://iptvpro.pw:35451//加QQ1078393318/897659860/701.ts
JSPORTS1BS242(JP),http://iptvpro.pw:35451//加QQ1078393318/897659860/801.ts
